file_id,파일명,종목명,증권사,작성일,투자의견,목표주가,현재주가,영업이익추정치_당해,기입소요초,비고
01,01_LG화학_LS증권_20260922.pdf,LG화학,LS증권,20260922,Hold(유지),235000,258500,1047,32,
02,02_JYPEnt_SK증권_20260922.pdf,JYPEnt,SK증권,20260922,BUY,66000,38500,163,30,
03,03_대한유화_유안타증권_20260922.pdf,대한유화,유안타증권,20260922,BUY,180000,96700,71,32,
04,04_한섬_한화투자증권_20260922.pdf,한섬,한화투자증권,20260922,BUY,36000,18560,85,25,
05,05_포스코인터내셔널_메리츠증권_20260922.pdf,포스코인터내셔널,메리츠증권,20260922,BUY,97000,57800,429,20,
06,06_LG에너지솔루션_iM증권_20260921.pdf,LG에너지솔루션,iM증권,20260921,BUY,550000,364000,824,24,
07,07_대한항공_상상인증권_20260921.pdf,대한항공,상상인증권,20260921,BUY,40000,29300,845,27,
08,08_에스티팜_대신증권_20260921.pdf,에스티팜,대신증권,20260921,BUY,170000,92700,91,20,
09,09_네오오토_한국IR협의회_20260921.pdf,네오오토,한국IR협의회,20260921,,,10200,14.7,12,목표주가·투자의견 없음 → 두 칸은 반드시 빈칸으로
10,10_사피엔반도체_메리츠증권_20260921.pdf,사피엔반도체,메리츠증권,20260921,,,38650,0.4,14,목표주가·투자의견 없음 → 두 칸은 반드시 빈칸으로
