file_id,파일명,소요초,종목명,종목명__conf,종목명__pos,증권사,증권사__conf,증권사__pos,작성일,작성일__conf,작성일__pos,투자의견,투자의견__conf,투자의견__pos,목표주가,목표주가__conf,목표주가__pos,현재주가,현재주가__conf,현재주가__pos,영업이익추정치_당해,영업이익추정치_당해__conf,영업이익추정치_당해__pos
01,01_LG화학_LS증권_20260922.pdf,0.013,,,,,,,,,,Hold,,,235000,,,,,,,,
02,02_JYPEnt_SK증권_20260922.pdf,0.001,,,,,,,,,,매수,,,66000,,,,,,,,
03,03_대한유화_유안타증권_20260922.pdf,0.001,,,,,,,,,,Buy,,,180000,,,,,,,,
04,04_한섬_한화투자증권_20260922.pdf,0.001,,,,,,,,,,Buy,,,36000,,,,,,,,
05,05_포스코인터내셔널_메리츠증권_20260922.pdf,0.001,,,,,,,,,,Buy,,,97000,,,,,,,,
06,06_LG에너지솔루션_iM증권_20260921.pdf,0.001,,,,,,,,,,Buy,,,550000,,,,,,,,
07,07_대한항공_상상인증권_20260921.pdf,0.001,,,,,,,,,,Buy,,,40000,,,,,,,,
08,08_에스티팜_대신증권_20260921.pdf,0.001,,,,,,,,,,Buy,,,170000,,,,,,,,
09,09_네오오토_한국IR협의회_20260921.pdf,0.001,,,,,,,,,,투자의견없음,,,,,,,,,,,
10,10_사피엔반도체_메리츠증권_20260921.pdf,0.001,,,,,,,,,,Not Rated,,,,,,,,,,,
