file_id,파일명,소요초,종목명,종목명__conf,종목명__pos,증권사,증권사__conf,증권사__pos,작성일,작성일__conf,작성일__pos,투자의견,투자의견__conf,투자의견__pos,목표주가,목표주가__conf,목표주가__pos,현재주가,현재주가__conf,현재주가__pos,영업이익추정치_당해,영업이익추정치_당해__conf,영업이익추정치_당해__pos
01,01_LG화학_LS증권_20260922.pdf,0.014,LG화학,,4,LS증권,,,2026. 9. 22,,66,Hold,,995,"235,000",,1362,"258,500",,1476,,,
02,02_JYPEnt_SK증권_20260922.pdf,0.001,,,,SK증권,,,2026-09-22,,1216,매수,,922,"66,000",,931,"38,500",,1307,,,
03,03_대한유화_유안타증권_20260922.pdf,0.002,대한유화,,1463,유안타증권,,,"10 
-8.7",,1891,BUY,,38,"180,000",,53,"96,700",,100,,,
04,04_한섬_한화투자증권_20260922.pdf,0.001,한섬,,26,한화투자증권,,,2026년 9월 22,,0,Buy,,112,"36,000",,132,"18,560",,154,,,
05,05_포스코인터내셔널_메리츠증권_20260922.pdf,0.002,포스코인터내셔널,,21,메리츠증권,,,2026. 9. 22,,1510,Buy,,1229,"97,000",,1239,"57,800",,1586,,,
06,06_LG에너지솔루션_iM증권_20260921.pdf,0.001,,,,iM증권,,,2026.09.21,,2,매수,,1409,"550,000",,2022,"364,000",,2052,,,
07,07_대한항공_상상인증권_20260921.pdf,0.001,,,,상상인증권,,,2026.09.21,,34,BUY,,1149,"40,000",,1166,"29,300",,1189,,,
08,08_에스티팜_대신증권_20260921.pdf,0.001,,,,대신증권,,,2026.09.21,,13,BUY,,176,"170,000",,199,"92,700",,232,,,
09,09_네오오토_한국IR협의회_20260921.pdf,0.004,네오오토,,78,한국IR협의회,,,2026.09.21,,46,,,,,,,,,,,,
10,10_사피엔반도체_메리츠증권_20260921.pdf,0.001,사피엔반도체,,21,메리츠증권,,,2026. 9. 21,,1648,Not Rated,,1660,,,,"38,650",,1699,,,
