file_id,파일명,소요초,종목명,종목명__conf,종목명__pos,증권사,증권사__conf,증권사__pos,작성일,작성일__conf,작성일__pos,투자의견,투자의견__conf,투자의견__pos,목표주가,목표주가__conf,목표주가__pos,현재주가,현재주가__conf,현재주가__pos,영업이익추정치_당해,영업이익추정치_당해__conf,영업이익추정치_당해__pos
01,01_LG화학_LS증권_20260922.pdf,8.382,LG화학,0.0,,LS-SEC,0.0,,2026. 9. 22,0.0,,Hold,0.0,,"235,000 원",0.0,,"258,500 원",0.0,,"1,420억원",0.0,
02,02_JYPEnt_SK증권_20260922.pdf,24.502,JYP Ent.,0.0,,엔터테인먼트,0.0,,2026-09-22,0.0,,매수 (유지),0.0,,"66,000 원",0.0,,"38,500 원",0.0,,163 억원,0.0,
03,03_대한유화_유안타증권_20260922.pdf,27.023,대한유화 (006650),0.0,,유안타증권,0.0,,2026.09.22,0.0,,BUY (M),0.0,,"180,000원",0.0,,"96,700원",0.0,,710억원,0.0,
04,04_한섬_한화투자증권_20260922.pdf,24.657,한섬,0.0,,한섬,0.0,,2026년 9월 22일,0.0,,BUY,0.0,,3.6만원,0.0,,"18,560원",0.0,,79억원,0.0,
05,05_포스코인터내셔널_메리츠증권_20260922.pdf,23.954,포스코인터내셔널,0.0,,Meritz Research,0.0,,2026 년 9 월 22 일,1.0,1169,Buy,1.0,962,"97,000 원",1.0,1214,"57,800 원",1.0,1231,"3,655 억원",1.0,939
06,06_LG에너지솔루션_iM증권_20260921.pdf,28.750,LG에너지솔루션,0.0,,K-IFRS,0.0,,2026.09.21,0.0,,Buy (Maintain),0.0,,"550,000원",0.0,,"364,000원",0.0,,824,1.0,1789
07,07_대한항공_상상인증권_20260921.pdf,24.277,대한항공,0.0,,상상인증권,0.0,,2026.09.21,0.0,,BUY,0.0,,"40,000 원",0.0,,"29,300 원",0.0,,845,0.0,
08,08_에스티팜_대신증권_20260921.pdf,29.732,에스티팜,1.0,29,대신증권,1.0,175,2026.09.21,1.0,29,BUY,1.0,175,"170,000",1.0,175,"92,700",0.0,,910,0.0,
09,09_네오오토_한국IR협의회_20260921.pdf,12.917,네오오토,1.0,39,ICE와 xEV를 넘어 로봇으로 기어 서드,0.0,,2026.09.21,0.0,,Buy,0.0,,,0.0,,212560,0.0,,,0.0,
10,10_사피엔반도체_메리츠증권_20260921.pdf,19.304,사피엔반도체,0.0,,미리츠,0.0,,2026.9.21,0.0,,Buy,0.0,,,0.0,,"38,650원",0.0,,3억원,0.0,
