file_id,파일명,소요초,종목명,종목명__conf,종목명__pos,증권사,증권사__conf,증권사__pos,작성일,작성일__conf,작성일__pos,투자의견,투자의견__conf,투자의견__pos,목표주가,목표주가__conf,목표주가__pos,현재주가,현재주가__conf,현재주가__pos,영업이익추정치_당해,영업이익추정치_당해__conf,영업이익추정치_당해__pos
01,01_LG화학_LS증권_20260922.pdf,38.970,LG화학,1.0,0,,0.0,,2026. 9. 22,1.0,51,Hold,1.0,1093,"235,000 원",1.0,1028,"258,500 원",1.0,1117,"1,420억원",1.0,291
02,02_JYPEnt_SK증권_20260922.pdf,99.909,JYP Ent.,1.0,2,,0.0,,2026-09-22,1.0,885,매수,1.0,665,"66,000 원",1.0,939,"38,500 원",1.0,955,163,1.0,1242
03,03_대한유화_유안타증권_20260922.pdf,108.010,대한유화,1.0,1047,유안타증권,1.0,1281,2026.09.22,1.0,1511,BUY,1.0,26,"180,000원 (M)",1.0,32,"96,700원",1.0,61,710,0.0,
04,04_한섬_한화투자증권_20260922.pdf,103.842,한섬,1.0,14,,0.0,,2026년 9월 22일,1.0,0,Buy (유지),1.0,81,"36,000원",1.0,88,"18,560원",1.0,104,"1,597",0.0,
05,05_포스코인터내셔널_메리츠증권_20260922.pdf,86.625,포스코인터내셔널,1.0,15,Meritz Research,1.0,1169,2026. 9. 22,1.0,1169,Buy,1.0,962,"97,000원",1.0,1214,"57,800원",1.0,1231,"3,655억원",1.0,1088
06,06_LG에너지솔루션_iM증권_20260921.pdf,121.264,LG에너지솔루션,1.0,10,,0.0,,2026.09.21,1.0,0,Buy (Maintain),1.0,1489,"550,000원(유지)",1.0,1502,"364,000원",1.0,1523,"32,194",0.0,
07,07_대한항공_상상인증권_20260921.pdf,95.801,대한항공,1.0,28,상상인증권,1.0,1406,2026.09.21,1.0,17,BUY,1.0,851,"40,000원",1.0,856,"29,300원",1.0,869,845,0.0,
08,08_에스티팜_대신증권_20260921.pdf,110.635,에스티팜,1.0,39,대신증권,1.0,14,2026.09.21,1.0,0,BUY,1.0,122,"170,000",1.0,134,"92,700",1.0,154,71,0.0,
09,09_네오오토_한국IR협의회_20260921.pdf,44.350,네오오토,1.0,52,,0.0,,2026.09.21,1.0,24,,0.0,,,0.0,,,0.0,,,0.0,
10,10_사피엔반도체_메리츠증권_20260921.pdf,81.053,사피엔반도체,1.0,15,Meritz Research,1.0,1255,2026. 9. 21,1.0,1255,Not Rated,1.0,1278,,1.0,586,"38,650원",1.0,1297,3억원,1.0,167
